Name,Type,Date,Location
DUI ALCOHOL,Arrest,19-Mar-18,2300 BLOCK FAMOSA BOULEVARD SAN DIEGO 92107 CA
"DRUNK IN PUBLIC: ALCOHOL, DRUGS, COMBO OR TOLUENE (M)",Other,10-Jun-14,"900 BLOCK OF S SANTA FE AVENUE, VISTA, CA"
